recipeID,recipeName
1,새우 두부 계란찜
2,부추 콩가루 찜
3,된장국
4,닭가슴살 브로콜리 만두
5,함초 냉이 국수
6,된장 두부찌개
7,부대된장찌개
8,양배추감자전
9,검은콩국수
10,닭고기김치찌개
11,백김치콩비지찌개
12,오징어김치찌개
13,나가사키부대찌개
14,삼겹살꼬치구이
15,새우아욱죽
16,까르보나라뇨끼
17,소고기리조또롤
18,함초삼겹
19,닭고기스테이크
20,오징어순대
21,감자느타리버섯국
22,로제소스라면
23,파인애플볶음밥
24,애호박들깨볶음
25,와사비 연어초밥
26,참깨흑임 자연두부샐러드
27,미역볶음밥
28,청국장볶음밥
29,해물볶음밥
30,구운주먹밥
31,참치비빔밥롤
32,새싹참치김밥
33,함초떡갈비
34,돼지수육맑은전골
35,열무김치파스타
36,해초갈비찜
37,바다향이 풍부한 전복죽
38,밥핫도그
39,버섯만두찜
40,떡갈비주먹밥
41,조개크림파스타
42,해산물리조또
43,닭고기채소스파게티
44,떡갈비찜
45,해산물두부샌드
46,단호박제육볶음
47,차돌박이볶음
48,함초타락죽
49,황태두부무국
50,관자브로콜리스프
51,채소어묵
52,주꾸미보리죽
53,함박스테이크
54,냉파스타
55,감닭떡갈비
56,관자해장국
57,해물토마토김치찌개
58,새우단배추된장국
59,해물순두부된장찌개
60,시금치 리조또
61,컵밥
62,가지볶음밥
63,닭고기볶음밥
64,닭가슴살리조또
65,두부달걀덮밥
66,간장아귀찜
67,두부말이찜
68,미나리명태찜
69,불고기덮밥
70,바비큐리조또
71,모듬해물찜
72,치즈리조또
73,단호박크림파스타
74,황태리조또
75,깻잎애호박찜
76,두부스테이크
77,들깨곤약수제비
78,맑은육개장
79,전복내장밥
80,새우완자찜
81,두부된장무침
82,귀리죽
83,들깨죽
84,삼계치킨
85,장어조림
86,미역전복죽
87,불고기미니볼
88,등심채소롤
89,유부완자탕
90,로제파스타
91,소고기 무국
92,배추된장국
