recipeID,ingredientID,amount
1,1,75
1,2,20
1,3,30
1,4,13
1,5,5
1,6,5
1,7,10
2,8,3
2,9,5
2,10,2
2,11,2
2,12,2
2,13,2
3,14,20
3,15,20
3,16,10
3,17,10
3,18,10
3,19,5
4,20,4
4,21,100
4,22,100
4,23,20
4,24,100
4,13,2
4,8,4
4,25,0.5
4,26,0.1
5,27,50
5,28,3
5,15,25
5,29,17
5,30,140
5,17,150
5,31,250
5,32,150
5,33,35
5,34,30
5,3,50
5,35,20
5,36,2
6,14,320
6,37,100
6,38,140
6,19,20
6,39,10
6,40,5
6,18,10
6,11,5
7,29,1
7,14,10
7,41,10
7,42,10
7,10,5
7,31,20
7,38,15
7,43,10
7,17,5
7,44,15
7,45,5
7,18,5
7,39,5
7,40,1
8,16,100
8,46,150
8,47,15
8,14,20
8,37,30
8,39,5
8,48,45
8,3,60
8,49,15
8,50,15
8,34,2
8,51,10
9,52,200
9,53,120
9,54,30
9,55,20
9,56,10
9,57,5
10,24,60
10,58,30
10,59,20
10,39,3
10,14,60
10,38,120
10,13,20
10,60,10
10,3,50
10,61,5
10,31,40
10,18,5
10,17,10
10,62,3
10,63,10
10,64,10
10,65,10
11,66,10
11,67,100
11,68,100
11,13,8
11,26,0.2
11,10,10
11,34,2
12,69,100
12,14,50
12,70,20
12,71,4
12,72,30
12,73,20
12,38,140
12,74,20
12,75,50
12,29,5
12,18,20
12,63,10
12,76,300
12,13,10
12,77,5
13,78,30
13,79,100
13,80,50
13,17,30
13,60,25
13,23,10
13,70,30
13,39,5
13,71,5
13,16,30
13,31,30
13,14,40
13,58,30
13,81,3
13,74,10
13,37,20
13,82,5
13,10,5
13,26,1
13,25,1
13,83,10
13,29,5
14,84,200
14,85,100
14,86,15
14,87,1
14,88,1
14,89,2
14,18,20
14,64,10
14,90,25
14,91,25
14,11,1
14,92,2
15,93,100
15,94,30
15,95,25
15,96,25
15,44,30
16,16,220
16,81,10
16,45,25
16,97,25
16,10,15
16,98,25
16,9,25
16,99,3
16,100,15
16,79,200
16,4,30
16,5,10
16,101,15
17,102,50
17,103,20
17,100,10
17,64,10
17,17,20
17,104,30
17,105,30
17,106,150
17,25,0.1
17,26,0.02
17,107,10
17,4,20
17,108,200
18,109,150
18,110,10
18,25,0.5
18,26,0.2
18,111,30
18,100,5
18,112,10
18,5,20
18,4,20
18,1,30
18,17,20
18,47,20
19,113,120
19,25,0.5
19,26,0.1
19,114,5
19,115,5
19,79,50
19,54,20
19,85,20
19,14,80
19,116,20
19,79,50
20,117,100
20,17,20
20,47,20
20,111,20
